"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","54","0","10148","2","5","6"
"jars/jackson-core-2.13.1.jar","67","0","3679","2","12","4"
"jars/jpox-1.1.9-1.jar","172","0","44471","10","30","16"
"jars/gpars-1.2.1.jar","413","0","35986","5","9","13"
"jars/jnr-unixsocket-0.38.17.jar","11","0","40","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","296","0","37144","6","24","13"
"jars/mariadb-java-client-3.0.3.jar","61","0","5491","3","11","5"
"jars/jxl-2.6.12.jar","67","0","6276","3","7","5"
"jars/ostrich_2.12-9.27.0.jar","368","0","3836","5","5","7"
"jars/commons-email-1.5.jar","11","0","36","0","0","0"
"jars/jmustache-1.15.jar","11","0","39","0","0","0"
"jars/ant-1.6.5.jar","98","0","12803","5","10","8"
"jars/antlr4-4.9.3.jar","192","0","39462","20","10","15"
"jars/commons-crypto-1.1.0.jar","14","0","154","0","0","0"
"jars/httpclient-4.5.13.jar","112","0","5236","2","4","5"
"jars/squeryl_2.10-0.9.6-M2.jar","231","0","44800","3","13","12"
"jars/jersey-core-1.19.4.jar","70","0","2122","1","1","3"
"jars/truth-1.1.3.jar","36","0","595","0","0","1"
"jars/commons-compress-1.21.jar","111","0","12229","5","11","10"
"jars/h2-2.1.210.jar","818","1","88098","16","61","28"
"jars/log4j-1.2.12.jar","35","0","1466","1","2","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","365","0","131614","15","48","25"
"jars/hsqldb-2.6.1.jar","579","0","68989","31","76","55"
"jars/postgresql-42.3.2.jar","116","0","10096","5","16","7"
"jars/thymeleaf-3.1.0.M1.jar","1710","1","11257","24","73","44"
"jars/maven-core-2.0.6.jar","14","0","105","0","0","0"
"jars/junit-3.8.1.jar","25","0","214","0","0","0"
"jars/javax.persistence-2.2.1.jar","131","0","616","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","419","0","47763","7","3","14"
"jars/itextpdf-5.5.13.2.jar","273","0","50162","14","31","18"
"jars/jsoup-1.14.3.jar","39","0","1923","1","3","2"
"jars/jgroups-5.2.0.Final.jar","549","0","100423","13","30","24"
