"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","58","0","9648","2","5","5"
"jars/jackson-core-2.13.1.jar","94","0","3532","2","12","4"
"jars/jpox-1.1.9-1.jar","212","0","42215","10","30","16"
"jars/gpars-1.2.1.jar","300","0","34048","5","9","16"
"jars/jnr-unixsocket-0.38.17.jar","17","0","60","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","241","0","36010","6","24","13"
"jars/mariadb-java-client-3.0.3.jar","61","0","5167","3","11","4"
"jars/jxl-2.6.12.jar","66","0","6090","3","7","5"
"jars/ostrich_2.12-9.27.0.jar","362","0","3888","3","5","8"
"jars/commons-email-1.5.jar","13","0","53","0","1","0"
"jars/jmustache-1.15.jar","12","0","30","0","0","0"
"jars/ant-1.6.5.jar","95","0","12342","5","10","8"
"jars/antlr4-4.9.3.jar","225","0","39796","15","10","14"
"jars/commons-crypto-1.1.0.jar","15","0","138","0","0","0"
"jars/httpclient-4.5.13.jar","81","0","4977","2","4","5"
"jars/squeryl_2.10-0.9.6-M2.jar","233","0","42698","4","14","12"
"jars/jersey-core-1.19.4.jar","69","0","1975","1","1","3"
"jars/truth-1.1.3.jar","34","0","566","1","0","1"
"jars/commons-compress-1.21.jar","108","0","11599","5","9","8"
"jars/h2-2.1.210.jar","720","0","83395","16","53","28"
"jars/log4j-1.2.12.jar","34","0","1420","1","2","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","402","0","126506","15","49","25"
"jars/hsqldb-2.6.1.jar","588","0","65381","38","78","57"
"jars/postgresql-42.3.2.jar","114","0","9575","5","16","7"
"jars/thymeleaf-3.1.0.M1.jar","1663","1","10462","25","48","46"
"jars/maven-core-2.0.6.jar","15","0","107","0","0","0"
"jars/junit-3.8.1.jar","32","0","170","0","0","0"
"jars/javax.persistence-2.2.1.jar","112","0","642","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","300","0","44415","8","5","14"
"jars/itextpdf-5.5.13.2.jar","312","0","47343","14","31","17"
"jars/jsoup-1.14.3.jar","40","0","1860","1","3","2"
"jars/jgroups-5.2.0.Final.jar","613","0","96711","14","30","27"
