"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","66","0","9321","2","6","5"
"jars/jackson-core-2.13.1.jar","70","0","3453","2","12","4"
"jars/jpox-1.1.9-1.jar","190","0","40867","10","33","20"
"jars/gpars-1.2.1.jar","407","0","33086","5","11","13"
"jars/jnr-unixsocket-0.38.17.jar","11","0","47","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","219","0","35280","7","29","16"
"jars/mariadb-java-client-3.0.3.jar","67","0","5030","3","12","4"
"jars/jxl-2.6.12.jar","64","0","5833","3","8","5"
"jars/ostrich_2.12-9.27.0.jar","375","0","3738","3","5","7"
"jars/commons-email-1.5.jar","12","0","30","0","0","0"
"jars/jmustache-1.15.jar","10","0","29","0","0","0"
"jars/ant-1.6.5.jar","104","0","11985","5","11","8"
"jars/antlr4-4.9.3.jar","201","0","38609","16","11","14"
"jars/commons-crypto-1.1.0.jar","14","0","121","0","0","0"
"jars/httpclient-4.5.13.jar","97","0","4849","2","4","5"
"jars/squeryl_2.10-0.9.6-M2.jar","264","0","41581","3","21","12"
"jars/jersey-core-1.19.4.jar","66","0","1939","1","1","2"
"jars/truth-1.1.3.jar","39","0","554","0","0","1"
"jars/commons-compress-1.21.jar","99","0","11397","5","12","8"
"jars/h2-2.1.210.jar","700","1","80270","24","75","31"
"jars/log4j-1.2.12.jar","34","0","1381","1","2","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","380","0","122952","17","55","26"
"jars/hsqldb-2.6.1.jar","562","0","62964","28","62","46"
"jars/postgresql-42.3.2.jar","116","0","9293","5","18","7"
"jars/thymeleaf-3.1.0.M1.jar","1663","1","10140","27","71","43"
"jars/maven-core-2.0.6.jar","15","0","100","0","0","0"
"jars/junit-3.8.1.jar","25","0","166","0","0","0"
"jars/javax.persistence-2.2.1.jar","113","0","581","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","424","0","43207","7","3","14"
"jars/itextpdf-5.5.13.2.jar","285","0","45695","15","34","18"
"jars/jsoup-1.14.3.jar","55","0","1809","1","4","2"
"jars/jgroups-5.2.0.Final.jar","568","0","93349","12","31","24"
