"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","61","0","9458","2","5","5"
"jars/jackson-core-2.13.1.jar","72","0","3481","2","12","4"
"jars/jpox-1.1.9-1.jar","202","0","41271","10","34","16"
"jars/gpars-1.2.1.jar","285","0","33381","5","9","17"
"jars/jnr-unixsocket-0.38.17.jar","14","0","42","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","307","0","35559","7","28","14"
"jars/mariadb-java-client-3.0.3.jar","69","0","5101","3","11","5"
"jars/jxl-2.6.12.jar","72","0","5965","3","7","5"
"jars/ostrich_2.12-9.27.0.jar","395","0","3667","3","19","8"
"jars/commons-email-1.5.jar","11","0","30","0","0","0"
"jars/jmustache-1.15.jar","13","0","30","0","0","0"
"jars/ant-1.6.5.jar","95","0","12101","5","10","8"
"jars/antlr4-4.9.3.jar","210","0","39513","19","10","15"
"jars/commons-crypto-1.1.0.jar","25","0","117","0","0","0"
"jars/httpclient-4.5.13.jar","101","0","4855","2","4","5"
"jars/squeryl_2.10-0.9.6-M2.jar","234","0","41906","3","14","12"
"jars/jersey-core-1.19.4.jar","93","0","1918","1","1","3"
"jars/truth-1.1.3.jar","43","0","574","1","1","2"
"jars/commons-compress-1.21.jar","114","0","11446","5","9","8"
"jars/h2-2.1.210.jar","743","0","81553","16","49","30"
"jars/log4j-1.2.12.jar","35","0","1393","1","2","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","383","0","124981","16","49","26"
"jars/hsqldb-2.6.1.jar","759","0","64025","23","134","77"
"jars/postgresql-42.3.2.jar","113","0","9391","5","16","7"
"jars/thymeleaf-3.1.0.M1.jar","1689","1","10308","26","45","37"
"jars/maven-core-2.0.6.jar","17","0","142","0","0","0"
"jars/junit-3.8.1.jar","31","0","164","0","0","0"
"jars/javax.persistence-2.2.1.jar","129","0","601","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","333","0","43563","8","3","14"
"jars/itextpdf-5.5.13.2.jar","286","0","46259","14","31","18"
"jars/jsoup-1.14.3.jar","44","0","1808","1","3","2"
"jars/jgroups-5.2.0.Final.jar","530","0","94796","14","30","27"
