"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","67","0","9319","2","5","5"
"jars/jackson-core-2.13.1.jar","83","0","3420","2","14","6"
"jars/jpox-1.1.9-1.jar","177","0","40986","11","31","16"
"jars/gpars-1.2.1.jar","328","0","33164","7","15","18"
"jars/jnr-unixsocket-0.38.17.jar","15","0","42","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","369","0","35438","7","23","14"
"jars/mariadb-java-client-3.0.3.jar","64","0","5023","3","11","4"
"jars/jxl-2.6.12.jar","72","0","5845","3","6","5"
"jars/ostrich_2.12-9.27.0.jar","385","0","3711","3","5","8"
"jars/commons-email-1.5.jar","11","0","29","0","0","0"
"jars/jmustache-1.15.jar","12","0","40","0","0","0"
"jars/ant-1.6.5.jar","92","0","11953","5","9","8"
"jars/antlr4-4.9.3.jar","210","0","38598","18","10","14"
"jars/commons-crypto-1.1.0.jar","16","0","117","0","0","0"
"jars/httpclient-4.5.13.jar","107","0","4874","2","4","5"
"jars/squeryl_2.10-0.9.6-M2.jar","236","0","41780","4","13","12"
"jars/jersey-core-1.19.4.jar","82","0","1932","1","1","3"
"jars/truth-1.1.3.jar","45","0","553","1","1","1"
"jars/commons-compress-1.21.jar","113","0","11354","5","8","8"
"jars/h2-2.1.210.jar","593","1","80489","17","51","29"
"jars/log4j-1.2.12.jar","37","0","1370","1","2","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","414","0","123385","16","44","30"
"jars/hsqldb-2.6.1.jar","572","0","63122","16","52","47"
"jars/postgresql-42.3.2.jar","127","0","9317","5","15","7"
"jars/thymeleaf-3.1.0.M1.jar","1722","1","10158","26","38","37"
"jars/maven-core-2.0.6.jar","16","0","111","0","0","0"
"jars/junit-3.8.1.jar","25","0","165","0","0","0"
"jars/javax.persistence-2.2.1.jar","131","0","581","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","422","0","43205","8","3","14"
"jars/itextpdf-5.5.13.2.jar","284","0","45697","15","28","18"
"jars/jsoup-1.14.3.jar","42","0","1804","1","3","2"
"jars/jgroups-5.2.0.Final.jar","583","0","93380","12","27","24"
