"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","57","0","9434","2","5","6"
"jars/jackson-core-2.13.1.jar","87","0","3427","2","12","4"
"jars/jpox-1.1.9-1.jar","201","0","41239","10","31","16"
"jars/gpars-1.2.1.jar","485","0","33474","5","9","16"
"jars/jnr-unixsocket-0.38.17.jar","11","0","58","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","336","0","35639","7","22","14"
"jars/mariadb-java-client-3.0.3.jar","64","0","5060","3","11","5"
"jars/jxl-2.6.12.jar","70","0","5942","4","6","5"
"jars/ostrich_2.12-9.27.0.jar","320","0","3625","3","5","8"
"jars/commons-email-1.5.jar","12","0","30","0","0","0"
"jars/jmustache-1.15.jar","11","0","30","0","0","0"
"jars/ant-1.6.5.jar","107","0","12081","5","9","8"
"jars/antlr4-4.9.3.jar","249","0","39275","18","9","15"
"jars/commons-crypto-1.1.0.jar","16","0","120","0","0","0"
"jars/httpclient-4.5.13.jar","97","0","4895","2","4","5"
"jars/squeryl_2.10-0.9.6-M2.jar","233","0","41900","3","12","12"
"jars/jersey-core-1.19.4.jar","71","0","1925","1","1","3"
"jars/truth-1.1.3.jar","53","0","554","1","0","1"
"jars/commons-compress-1.21.jar","121","0","11406","5","8","8"
"jars/h2-2.1.210.jar","600","0","81274","17","65","28"
"jars/log4j-1.2.12.jar","34","0","1408","1","7","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","387","0","124315","16","43","26"
"jars/hsqldb-2.6.1.jar","563","0","63746","16","54","48"
"jars/postgresql-42.3.2.jar","123","0","9365","5","15","7"
"jars/thymeleaf-3.1.0.M1.jar","1677","1","10615","26","39","37"
"jars/maven-core-2.0.6.jar","14","0","105","0","0","0"
"jars/junit-3.8.1.jar","36","0","199","0","0","0"
"jars/javax.persistence-2.2.1.jar","135","0","608","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","453","0","43374","8","3","14"
"jars/itextpdf-5.5.13.2.jar","327","0","46051","14","27","18"
"jars/jsoup-1.14.3.jar","39","0","1811","1","3","2"
"jars/jgroups-5.2.0.Final.jar","555","0","94420","15","26","30"
