"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","56","0","9434","3","5","6"
"jars/jackson-core-2.13.1.jar","83","0","3444","2","12","4"
"jars/jpox-1.1.9-1.jar","199","0","41182","10","30","16"
"jars/gpars-1.2.1.jar","314","0","33356","5","10","14"
"jars/jnr-unixsocket-0.38.17.jar","14","0","51","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","234","0","35435","7","25","13"
"jars/mariadb-java-client-3.0.3.jar","64","0","5055","3","11","5"
"jars/jxl-2.6.12.jar","61","0","5976","3","7","5"
"jars/ostrich_2.12-9.27.0.jar","409","0","3843","4","5","16"
"jars/commons-email-1.5.jar","14","0","30","0","0","0"
"jars/jmustache-1.15.jar","11","0","29","0","0","0"
"jars/ant-1.6.5.jar","92","0","12081","5","10","8"
"jars/antlr4-4.9.3.jar","244","0","39444","18","10","14"
"jars/commons-crypto-1.1.0.jar","15","0","117","0","0","0"
"jars/httpclient-4.5.13.jar","96","0","4839","2","4","5"
"jars/squeryl_2.10-0.9.6-M2.jar","237","0","41841","3","15","11"
"jars/jersey-core-1.19.4.jar","68","0","1927","1","1","3"
"jars/truth-1.1.3.jar","42","0","571","1","0","1"
"jars/commons-compress-1.21.jar","106","0","11449","5","9","8"
"jars/h2-2.1.210.jar","781","0","81508","16","53","29"
"jars/log4j-1.2.12.jar","37","0","1404","1","2","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","377","0","124237","15","55","24"
"jars/hsqldb-2.6.1.jar","698","0","63884","23","71","61"
"jars/postgresql-42.3.2.jar","131","0","9387","5","16","7"
"jars/thymeleaf-3.1.0.M1.jar","1692","1","10282","26","40","36"
"jars/maven-core-2.0.6.jar","14","0","104","0","0","0"
"jars/junit-3.8.1.jar","36","0","175","0","1","0"
"jars/javax.persistence-2.2.1.jar","113","0","587","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","307","0","43426","8","3","14"
"jars/itextpdf-5.5.13.2.jar","283","0","46141","14","31","17"
"jars/jsoup-1.14.3.jar","41","0","1832","1","3","2"
"jars/jgroups-5.2.0.Final.jar","601","0","94658","12","31","24"
