"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","58","0","10587","2","5","6"
"jars/jackson-core-2.13.1.jar","100","0","3865","2","12","4"
"jars/jpox-1.1.9-1.jar","213","0","46585","10","28","16"
"jars/gpars-1.2.1.jar","287","0","37715","5","9","14"
"jars/jnr-unixsocket-0.38.17.jar","13","0","54","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","223","0","38521","6","23","14"
"jars/mariadb-java-client-3.0.3.jar","72","0","5769","3","11","5"
"jars/jxl-2.6.12.jar","69","0","6567","3","6","5"
"jars/ostrich_2.12-9.27.0.jar","373","0","4102","3","5","8"
"jars/commons-email-1.5.jar","12","0","32","0","0","0"
"jars/jmustache-1.15.jar","11","0","41","0","0","0"
"jars/ant-1.6.5.jar","93","0","13272","5","9","8"
"jars/antlr4-4.9.3.jar","222","0","40269","17","10","15"
"jars/commons-crypto-1.1.0.jar","15","0","138","0","0","0"
"jars/httpclient-4.5.13.jar","119","0","5436","2","3","5"
"jars/squeryl_2.10-0.9.6-M2.jar","219","0","47019","3","13","12"
"jars/jersey-core-1.19.4.jar","63","0","2204","1","1","3"
"jars/truth-1.1.3.jar","40","0","624","1","0","1"
"jars/commons-compress-1.21.jar","111","0","12643","5","9","12"
"jars/h2-2.1.210.jar","730","0","92153","17","45","29"
"jars/log4j-1.2.12.jar","34","0","1522","1","2","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","391","0","136800","16","43","26"
"jars/hsqldb-2.6.1.jar","598","0","72078","29","82","55"
"jars/postgresql-42.3.2.jar","128","0","10536","5","15","7"
"jars/thymeleaf-3.1.0.M1.jar","1779","1","10496","26","45","43"
"jars/maven-core-2.0.6.jar","17","0","121","0","0","0"
"jars/junit-3.8.1.jar","34","0","192","0","0","0"
"jars/javax.persistence-2.2.1.jar","109","0","640","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","429","0","50185","7","3","15"
"jars/itextpdf-5.5.13.2.jar","284","0","52626","14","27","18"
"jars/jsoup-1.14.3.jar","41","0","2017","1","3","2"
"jars/jgroups-5.2.0.Final.jar","511","1","105026","15","33","37"
