"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","61","0","9219","2","6","6"
"jars/jackson-core-2.13.1.jar","93","0","3392","2","12","4"
"jars/jpox-1.1.9-1.jar","243","0","40516","10","30","17"
"jars/gpars-1.2.1.jar","326","0","32751","5","10","16"
"jars/jnr-unixsocket-0.38.17.jar","18","0","57","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","224","0","34936","6","29","14"
"jars/mariadb-java-client-3.0.3.jar","67","0","4981","3","12","5"
"jars/jxl-2.6.12.jar","67","0","5790","3","8","5"
"jars/ostrich_2.12-9.27.0.jar","379","0","3665","5","5","7"
"jars/commons-email-1.5.jar","11","0","29","0","0","0"
"jars/jmustache-1.15.jar","12","0","36","0","0","0"
"jars/ant-1.6.5.jar","101","0","11820","5","11","8"
"jars/antlr4-4.9.3.jar","215","0","38251","17","14","16"
"jars/commons-crypto-1.1.0.jar","15","0","124","0","0","0"
"jars/httpclient-4.5.13.jar","109","0","4770","2","5","5"
"jars/squeryl_2.10-0.9.6-M2.jar","230","0","41341","3","21","12"
"jars/jersey-core-1.19.4.jar","87","0","1915","1","1","3"
"jars/truth-1.1.3.jar","36","0","549","0","0","1"
"jars/commons-compress-1.21.jar","105","0","11200","5","9","8"
"jars/h2-2.1.210.jar","781","0","79587","16","54","28"
"jars/log4j-1.2.12.jar","32","0","1358","1","2","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","411","0","122313","16","54","26"
"jars/hsqldb-2.6.1.jar","600","0","62402","20","80","70"
"jars/postgresql-42.3.2.jar","112","0","9191","5","18","7"
"jars/thymeleaf-3.1.0.M1.jar","1682","1","10313","26","40","37"
"jars/maven-core-2.0.6.jar","18","0","118","0","0","0"
"jars/junit-3.8.1.jar","33","0","172","0","0","0"
"jars/javax.persistence-2.2.1.jar","120","0","588","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","323","0","42877","7","3","14"
"jars/itextpdf-5.5.13.2.jar","284","0","45366","15","34","19"
"jars/jsoup-1.14.3.jar","39","0","1771","1","4","2"
"jars/jgroups-5.2.0.Final.jar","590","0","92543","13","31","25"
